year,ncsu,unc,ecu,ncat,uncc,uncg,app,fsu,nccu,uncp,uncw,wcu,wssu,unca,ecsu,Hertford County,Mecklenburg County,Wilkes County,Orange County,Onslow County,United States,North Carolina
2004,"4,168.55","4,359.52","3,320.00","3,003.00","3,419.00","3,384.00","3,154.50","2,520.00","3,041.00","2,824.00","3,574.50","3,201.50","2,654.00","3,321.50","2,473.50","28,226","49,683","35,393","46,621","34,995","44,334","40,863"
2005,"4,249.00","4,515.02","3,470.00","3,048.00","3,495.00","3,416.00","3,234.50","2,520.00","3,095.00","2,839.00","3,638.75","3,311.00","2,779.00","3,454.50","2,492.50","29,370","50,484","35,712","45,527","39,942","46,242","40,781"
2006,"4,678.00","4,875.82","3,816.00","3,348.00","3,841.00","3,762.00","3,869.50","2,842.00","3,395.00","3,221.00","4,080.75","3,623.00","3,108.00","3,810.50","2,763.50","28,926","52,217","36,687","47,699","38,478","48,451","42,721"
2007,"5,002.00","5,176.30","4,181.00","3,429.00","4,091.00","3,978.00","4,184.00","3,020.00","3,605.00","3,396.00","4,312.40","3,950.00","3,274.00","4,043.85","2,896.50","30,549","56,114","38,135","55,028","41,799","50,740","44,772"
2008,"5,143.00","5,227.99","4,149.00","3,511.75","4,226.00","4,084.00","4,274.00","3,020.00","3,689.89","3,497.00","4,441.15","4,085.50","3,338.00","4,174.35","2,920.50","34,131","57,293","34,692","55,522","46,186","52,029","46,574"
2009,"5,396.00","5,450.16","4,220.00","3,599.75","4,356.00","4,186.00","4,424.00","3,152.00","3,861.21","3,655.00","4,872.80","4,214.00","3,471.16","4,328.85","3,031.00","31,879","53,158","36,516","51,944","41,161","50,221","43,754"
2010,"6,393.30","6,487.49","4,750.00","4,320.00","5,064.00","4,925.00","5,173.74","3,451.00","4,479.42","4,059.00","5,321.90","5,000.80","4,017.16","4,677.50","3,639.38","32,410","52,363","34,886","51,434","41,969","50,046","43,417"
2011,"6,874.20","6,823.96","5,317.00","4,566.50","5,360.00","5,445.00","5,455.74","4,084.00","4,719.92","4,587.00","5,594.55","5,250.00","4,513.16","5,283.50","3,828.66","31,581","52,111","34,954","56,792","45,434","50,502","44,028"
2012,"7,643.55","7,499.81","5,813.00","4,951.50","5,777.00","6,085.00","5,962.00","4,393.76","5,119.03","4,776.00","6,121.70","5,772.00","4,850.16","5,806.50","4,149.69","31,861","55,392","35,362","53,026","44,263","51,371","45,195"
2013,"8,055.15","8,122.98","6,084.00","5,314.50","6,009.00","6,322.00","6,356.00","4,579.76","5,444.09","5,063.00","6,266.10","6,096.00","5,377.16","6,121.00","4,427.63","33,616","54,657","35,895","59,472","45,213","52,250","45,946"
2014,"8,133.42","8,106.84","5,984.00","5,535.17","6,179.00","6,385.00","6,438.00","4,629.76","5,444.09","5,206.00","6,314.70","6,156.00","5,623.16","6,272.00","4,496.74","30,056","59,049","33,398","60,304","47,201","53,657","46,596"
2015,"8,406.88","8,334.19","6,421.00","5,865.17","6,414.00","6,674.00","6,719.00","4,859.76","5,674.09","5,483.40","6,599.66","6,474.00","5,616.16","6,485.00","4,656.74",,,,,,,
